,date,new_flat_offered
0,2001-04-01,2594
1,2002-12-01,1466
2,2003-09-01,1783
3,2003-12-01,862
4,2004-03-01,790
5,2004-05-01,1848
6,2004-08-01,508
7,2004-12-01,1389
8,2005-03-01,374
9,2005-06-01,369
10,2005-09-01,500
11,2006-02-01,365
12,2006-07-01,508
13,2006-09-01,647
14,2006-10-01,447
15,2006-11-01,390
16,2007-03-01,712
17,2007-05-01,678
18,2007-08-01,628
19,2007-09-01,698
20,2007-10-01,916
21,2007-11-01,1162
22,2007-12-01,1122
23,2008-02-01,494
24,2008-03-01,572
25,2008-05-01,1485
26,2008-06-01,1969
27,2008-08-01,474
28,2008-11-01,750
29,2008-12-01,2045
30,2009-02-01,815
31,2009-03-01,519
32,2009-06-01,702
33,2009-07-01,769
34,2009-08-01,1142
35,2009-10-01,1200
36,2009-11-01,1295
37,2009-12-01,2670
38,2010-01-01,1291
39,2010-02-01,1534
40,2010-03-01,954
41,2010-04-01,1429
42,2010-05-01,1050
43,2010-06-01,2696
44,2010-07-01,1206
45,2010-08-01,1408
46,2010-09-01,1329
47,2010-10-01,1322
48,2010-11-01,1176
49,2010-12-01,1010
50,2011-01-01,1824
51,2011-02-01,1593
52,2011-03-01,1529
53,2011-04-01,3185
54,2011-05-01,3957
55,2011-07-01,3556
56,2011-09-01,5415
57,2011-11-01,4235
58,2012-01-01,3923
59,2012-03-01,4153
60,2012-05-01,4627
61,2012-07-01,4191
62,2012-09-01,3727
63,2012-11-01,6463
64,2013-01-01,3346
65,2013-03-01,3890
66,2013-05-01,4900
67,2013-07-01,3861
68,2013-09-01,4240
69,2013-11-01,4978
70,2014-01-01,3139
71,2014-03-01,3497
72,2014-05-01,3125
73,2014-07-01,3841
74,2014-09-01,4630
75,2014-11-01,4277
76,2015-02-01,3995
77,2015-05-01,4044
78,2015-11-01,7061
79,2016-02-01,4170
80,2016-05-01,3770
81,2016-08-01,4841
82,2016-11-01,5110
83,2017-02-01,4056
84,2017-05-01,4802
85,2017-08-01,3897
86,2017-11-01,4829
87,2018-02-01,3664
88,2018-05-01,3970
89,2018-08-01,4375
90,2018-11-01,3802
91,2019-02-01,3162
92,2019-05-01,3394
93,2019-09-01,3373
94,2019-11-01,4571
95,2020-02-01,3095
96,2020-08-01,0
97,2020-11-01,0
