cemetery,lat,lng
Chua Chu Kang Ahmadiyya Jama'at Cemetery ,1.3694001996669,103.688042200233
Chua Chu Kang Bahai Cemetery ,1.37491320045224,103.692977399602
Chua Chu Kang Chinese Cemetery ,1.38185809961765,103.686389900244
Chua Chu Kang Christian Cemetery ,1.37349740041591,103.689689000222
Chua Chu Kang Hindu Cemetery ,1.36942160000287,103.685885700416
Chua Chu Kang Jewish Cemetery ,1.3716471998759,103.699983400436
Chua Chu Kang Muslim Cemetery ,1.38345094095783,103.687554000041
Chua Chu Kang Parsi Cemetery ,1.37173839964993,103.699554200376
Lawn Cemetery ,1.37349740041591,103.689689000222
"State Cemetery, Kranji ",1.41947990036836,103.757139199785
