road,lat,lng,gateball_petanque_courts,swimming_complex,squash_centre,netball_centre,lawn_bowl,stadium,sports_hall,field,futsal_court,tennis_centre,practice_track,gym,hockey_pitch
Tampines Avenue 4 ,1.35436736684635,103.94077231704,0,1,0,0,0,0,1,0,0,0,0,1,0
Pasir Ris Central ,1.37448512294275,103.952424537943,0,1,0,0,0,1,1,0,0,1,0,1,0
Stirling Road ,1.29703118433011,103.8021979086,0,1,0,0,0,1,0,0,0,0,0,0,0
Anchorvale Road ,1.39628632762323,103.887535237702,0,1,0,0,0,0,1,0,0,0,0,1,1
Yio Chu Kang Road ,1.35779894733763,103.874819675218,0,1,0,0,0,0,0,0,0,0,0,0,0
Lorong 6 Toa Payoh ,1.33114710936452,103.852261295317,0,1,0,0,0,1,1,0,0,0,0,1,0
Woodlands Street 12 ,1.4357545025108,103.78097604595,0,1,0,0,0,1,1,0,0,0,0,1,0
St Wilfred Road ,1.32605591303017,103.862154974899,0,0,0,0,0,0,0,1,0,1,0,0,0
Ang Mo Kio Avenue 9 ,1.38339562811452,103.84538692395,0,1,1,0,0,1,1,0,0,1,0,1,0
Yishun Avenue 1 ,1.41375104904808,103.832038418267,0,0,0,0,0,1,1,0,0,0,0,1,0
Yishun Avenue 3 ,1.42411707461287,103.834053811006,0,1,0,0,0,0,0,0,0,0,0,0,0
Evans Road ,1.32129929136485,103.820163508503,0,1,1,0,0,1,1,0,0,1,0,0,1
Tiong Bahru Road ,1.29088508668353,103.820350965163,0,1,0,0,0,0,1,0,0,0,0,1,1
Lengkok Bahru ,1.2876679644099,103.814843176229,0,0,0,0,0,0,0,0,0,0,0,1,0
Aljunied Crescent Avenue 1 ,1.32148423019096,103.888148340047,0,1,0,0,0,0,0,0,0,0,0,0,0
Lorong 12 Geylang ,1.31093087343346,103.87761161695,0,0,0,0,0,0,0,1,0,0,0,0,0
Rutland Road ,1.30957995820846,103.850338873065,0,0,0,0,0,0,0,1,0,1,0,0,0
Tyrwhitt Road ,1.31068958851184,103.859668996456,0,1,0,0,0,1,0,0,0,0,0,0,0
Jurong East Street 31 ,1.34586414829953,103.729138907193,1,1,0,0,0,1,1,0,0,0,0,1,0
Bedok North Street 1 ,1.32722499734466,103.931147265025,0,1,0,0,0,0,1,0,0,1,0,1,0
Hougang Avenue 4 ,1.3698443789415,103.886186285942,0,1,0,0,0,1,1,0,0,0,0,1,0
West Coast Walk ,1.31054736358854,103.762831357532,0,0,0,0,0,1,0,0,0,0,0,0,0
Clementi Avenue 3 ,1.31137729496485,103.764384219114,0,1,0,0,0,0,1,0,0,0,0,1,0
Jurong West Street 93 ,1.33893979108182,103.693702605961,0,1,0,0,0,1,1,0,0,1,0,1,0
Geylang Bahru Lane ,1.32325195762473,103.872252956458,0,1,0,0,0,0,0,0,0,0,0,0,0
Stadium Road ,1.30680410822255,103.877357239552,0,0,1,1,1,0,0,1,0,1,1,0,0
Wilkinson Road ,1.30223475636127,103.885917296542,0,1,0,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio Avenue 1 ,1.36240591106072,103.850044420756,0,1,0,0,0,0,0,0,0,0,0,0,0
Bishan Street 14 ,1.35549795781487,103.851865316168,0,1,0,0,0,1,1,0,0,0,0,1,0
Bukit Batok Street 22 ,1.3449742165657,103.747781014088,0,1,0,0,0,0,0,0,0,0,0,0,0
Bukit Batok West Avenue 5 ,1.35968730286159,103.751882635276,0,0,0,0,0,1,1,0,0,0,0,1,0
Bedok North Street 2 ,1.3266435360719,103.936351191135,0,0,0,0,0,1,0,0,0,0,0,0,0
Burghley Drive ,1.35925932367945,103.860926082782,0,0,1,0,0,0,0,0,0,1,0,0,0
Choa Chu Kang Street 53 ,1.39035615823275,103.74745156842,0,1,0,0,0,1,1,0,1,1,0,1,0
Fourth Chin Bee Road ,1.3340808063381,103.718512212638,0,0,0,0,0,1,0,0,0,0,0,0,0
