name,lat,lng,type
Chua Chu Kang Ahmadiyya Jama'at Cemetery ,1.3694002,103.6880422,cemetery
Chua Chu Kang Bahai Cemetery ,1.3749132,103.6929774,cemetery
Chua Chu Kang Chinese Cemetery ,1.3818581,103.6863899,cemetery
Chua Chu Kang Christian Cemetery ,1.3734974,103.689689,cemetery
Chua Chu Kang Hindu Cemetery ,1.3694216,103.6858857,cemetery
Chua Chu Kang Jewish Cemetery ,1.3716472,103.6999834,cemetery
Chua Chu Kang Muslim Cemetery ,1.383450941,103.687554,cemetery
Chua Chu Kang Parsi Cemetery ,1.3717384,103.6995542,cemetery
Lawn Cemetery ,1.3734974,103.689689,cemetery
"State Cemetery, Kranji ",1.4194799,103.7571392,cemetery
The Garden of Remembrance ,1.3743809,103.6923621,columbaria
Nirvana Memorial Garden Singapore ,1.3707466,103.6881279,columbaria
Seh Ong Charity  ,1.3411236,103.7532089,columbaria
Choa Chu Kang Columbarium ,1.3743222,103.6866196,columbaria
Mandai Columbarium ,1.4139117,103.8096321,columbaria
Yishun Columbarium ,1.4346683,103.8335574,columbaria
Kong Meng San Phor Kark See Monastery (Bright Hill Temple) ,1.3615053,103.8358051,crematorium
Tze Tho Aum Temple ,1.3618595,103.8382986,crematorium
Choa Chu Kang Crematorium ,1.3705776,103.6869828,crematorium
Mandai Crematorium ,1.4139117,103.8096321,crematorium
Jalan Kubor Muslim Cemetery,1.3045947,103.8585585,cemetery
Bukit Brown Cemetery,1.3361111,103.8207959,cemetery
Shuang Long Shan Cemetery,1.3063882,103.7957,cemetery
San Yi Lou,1.3279887,103.7895836,columbaria
Johor's Royal Mausoleum,1.2663521,103.8242979,cemetery
Keramat Bukit Kasita,1.2725623,103.8265314,cemetery
