library,lat,lng
Serangoon Public Library,1.350727094,103.8722569
library@orchard,1.30040819,103.839669
Geylang East Public Library,1.317442979,103.8858373
Jurong West Public Library,1.340635993,103.7045123
Bukit Batok Public Library,1.349497548,103.7492852
Sengkang Public Library,1.391328762,103.8946882
Marine Parade Public Library,1.304669669,103.9095814
Pasir Ris Public Library,1.37235751,103.9494399
library@chinatown,1.285260737,103.8449429
library@esplanade,1.289411656,103.8557703
Chua Chu Kang Public Library,1.384959197,103.7450393
Bukit Panjang Public Library,1.379936374,103.7643501
Cheng San Public Library,1.372572645,103.8937753
Clementi Public Library,1.315062016,103.7643056
Ang Mo Kio Public Library,1.374790069,103.8455807
Yishun Public Library,1.429715474,103.8358035
Bishan Public Library,1.349850667,103.8488404
Bedok Public Library,1.326989398,103.9316911
Central Public Library,1.297420181,103.8542348
Harbour Front Public Library,1.26392175,103.8216315
Toa Payoh Public Library,1.333624636,103.8509693
Jurong Regional Library,1.332894515,103.7392429
National Library Building,1.297202409,103.8542873
Queenstown Public Library,1.298712632,103.8055204
Woodlands Regional Library,1.435037001,103.7869275
Tampines Regional Library,1.356291832,103.9445559
Sembawang Public Library,1.448196648,103.8194986
